"zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","habitat","playback.num","dBdoubledist","Call.category"
-55.0970283372876,14.0472084826579,0,500,"1_PwurP_P4",1521,20190811,-32.4296651481027,28.7657233496743,-10.9029716627124,"MS","87",-9.76230195891771,"PwurP"
-28.2722957200574,47.5036416277378,0,100,"1_PwurP_P5",200,20190812,-28.2722957200574,28.3034616704717,8.27229572005741,"MS","87",-8.51080905801968,"PwurP"
-46.7330230361135,29.0429143116817,0,250,"1_PwurP_P5",1621,20190811,-33.4299202728357,28.4199526615073,18.7330230361135,"MS","87",-10.063408754779,"PwurP"
-64.4883894116463,11.2875479361489,0,500,"1_PwurP_P5",1521,20190811,-37.9573443009956,28.4694882973659,-1.51161058835369,"MS","87",-11.426299190345,"PwurP"
-32.4518591411844,51.0382087541532,0,100,"1_PwurS_S1",200,20190812,-32.4518591411844,39.7912673865592,12.4518591411844,"MS","87",-9.76898301655887,"PwurS"
-48.4713509712353,35.0187169241023,0,250,"1_PwurS_S1",1621,20190811,-34.6734127863472,40.2494064946267,20.4713509712353,"MS","87",-10.4377373007295,"PwurS"
-52.4668191938271,31.0232487015105,0,500,"1_PwurS_S1",1521,20190811,-30.8815453244755,40.5845915635339,-13.5331808061729,"MS","87",-9.2962714551239,"PwurS"
-32.4697971042855,50.9373958650192,0,100,"1_PwurS_S2",200,20190812,-32.4697971042855,37.3748873068137,12.4697971042855,"MS","87",-9.77438288151341,"PwurS"
-48.1876582908089,35.2195346784958,0,250,"1_PwurS_S2",1621,20190811,-34.4704765525556,38.0967715358871,20.1876582908089,"MS","87",-10.3766474071512,"PwurS"
-51.556938070617,31.8502548986877,0,500,"1_PwurS_S2",1521,20190811,-30.3459966562307,37.7886165469838,-14.443061929383,"MS","87",-9.1350552418443,"PwurS"
-32.351728875791,52.4425345252759,0,100,"1_PwurS_S3",200,20190812,-32.351728875791,38.0880054878167,12.351728875791,"MS","87",-9.73884080320166,"PwurS"
-49.1169854062473,35.6772779948196,0,250,"1_PwurS_S3",1621,20190811,-35.1352598119755,38.6438753141322,21.1169854062473,"MS","87",-10.5767671088518,"PwurS"
-52.1547670592765,32.6394963417904,0,500,"1_PwurS_S3",1521,20190811,-30.6978739625596,38.6330428370077,-13.8452329407235,"MS","87",-9.24098086584277,"PwurS"
-32.1440237969818,52.3596831756545,0,100,"1_PwurS_S4",200,20190812,-32.1440237969818,39.1452102392193,12.1440237969818,"MS","87",-9.67631534422834,"PwurS"
-47.7766329811925,36.7270739914438,0,250,"1_PwurS_S4",1621,20190811,-34.1764544149341,39.2920939094281,19.7766329811925,"MS","87",-10.2881379243379,"PwurS"
-53.5172329021303,30.986474070506,0,500,"1_PwurS_S4",1521,20190811,-31.4998103354071,39.8284906888653,-12.4827670978697,"MS","87",-9.48238776868382,"PwurS"
-33.3028889093586,48.565145259151,0,100,"1_PwurS_S5",200,20190812,-33.3028889093586,38.8642454687543,13.3028889093586,"MS","87",-10.0251685039823,"PwurS"
-50.1884405800669,31.6795935884427,0,250,"1_PwurS_S5",1621,20190811,-35.9017127120806,38.9543373754062,22.1884405800669,"MS","87",-10.8074924220471,"PwurS"
-53.9705524915276,27.897481676982,0,500,"1_PwurS_S5",1521,20190811,-31.7666305784016,39.5669465320793,-12.0294475084724,"MS","87",-9.56270866527551,"PwurS"
-36.8903921782362,40.0863858123525,0,100,"2_Phaser1",200,20190812,-36.8903921782362,63.9984613149868,16.8903921782362,"MS","87",-11.105114597457,"Phaser1"
NA,NA,0,250,"2_Phaser1",1621,20190811,NA,65.9299529912175,NA,"MS","87",NA,"Phaser1"
-45.1180191565407,31.858758834048,0,500,"2_Phaser1",1521,20190811,-26.5561010738229,66.227133916663,-20.8819808434593,"MS","87",-7.99418299110516,"Phaser1"
-39.8445648535506,41.6218017156675,0,100,"2_Upsweep1",200,20190812,-39.8445648535506,63.9984613149868,19.8445648535506,"MS","87",-11.9944091850976,"Upsweep1"
-53.1506907081832,28.3156758610349,0,250,"2_Upsweep1",1621,20190811,-38.0207236208035,65.9299529912175,25.1506907081832,"MS","87",-11.4453782667119,"Upsweep1"
-57.0027973681792,24.4635692010389,0,500,"2_Upsweep1",1521,20190811,-33.5513853821432,66.227133916663,-8.99720263182081,"MS","87",-10.0999733961071,"Upsweep1"
-40.9378934710505,40.8250860215615,0,100,"2_Downsweep1",200,20190812,-40.9378934710505,63.9984613149868,20.9378934710505,"MS","87",-12.3235338940829,"Downsweep1"
-53.1916585021651,28.5713209904469,0,250,"2_Downsweep1",1621,20190811,-38.0500294520465,65.9299529912175,25.1916585021651,"MS","87",-11.4542002009639,"Downsweep1"
-59.4908639338284,22.2721155587836,0,500,"2_Downsweep1",1521,20190811,-35.0158412343944,66.227133916663,-6.50913606617159,"MS","87",-10.5408185349604,"Downsweep1"
-41.0331664196368,40.8922402740282,0,100,"2_Upsweep2",200,20190812,-41.0331664196368,63.9984613149868,21.0331664196368,"MS","87",-12.3522139093827,"Upsweep2"
-52.3928889573184,29.5325177363466,0,250,"2_Upsweep2",1621,20190811,-37.4786390204889,65.9299529912175,24.3928889573184,"MS","87",-11.2821945418297,"Upsweep2"
-56.1810074975447,25.7443991961203,0,500,"2_Upsweep2",1521,20190811,-33.067686512512,66.227133916663,-9.8189925024553,"MS","87",-9.95436552747939,"Upsweep2"
-41.2363294288901,40.6754429665448,0,100,"2_Downsweep2",200,20190812,-41.2363294288901,63.9984613149868,21.2363294288901,"MS","87",-12.4133720691773,"Downsweep2"
-56.0521650003571,25.8596073950778,0,250,"2_Downsweep2",1621,20190811,-40.0962592476364,65.9299529912175,28.0521650003571,"MS","87",-12.0701767474579,"Downsweep2"
-55.8013323192611,26.1104400761738,0,500,"2_Downsweep2",1521,20190811,-32.8442127741208,66.227133916663,-10.1986676807389,"MS","87",-9.88709322898045,"Downsweep2"
-40.7930953494562,41.0222661158792,0,100,"2_Upsweep3",200,20190812,-40.7930953494562,63.9984613149868,20.7930953494562,"MS","87",-12.2799453161672,"Upsweep3"
-53.954467119271,27.8608943460644,0,250,"2_Upsweep3",1621,20190811,-38.5956956554413,65.9299529912175,25.954467119271,"MS","87",-11.6184620958058,"Upsweep3"
-59.1409263928914,22.674435072444,0,500,"2_Upsweep3",1521,20190811,-34.8098708287699,66.227133916663,-6.8590736071086,"MS","87",-10.4788152646483,"Upsweep3"
-41.3610171659483,40.4690865733018,0,100,"2_Downsweep3",200,20190812,-41.3610171659483,63.9984613149868,21.3610171659483,"MS","87",-12.4509068181233,"Downsweep3"
-53.7124496465009,28.1176540927492,0,250,"2_Downsweep3",1621,20190811,-38.4225712929732,65.9299529912175,25.7124496465009,"MS","87",-11.5663464697227,"Downsweep3"
-56.807522871725,25.0225808675251,0,500,"2_Downsweep3",1521,20190811,-33.4364483932877,66.227133916663,-9.19247712827499,"MS","87",-10.0653739148503,"Downsweep3"
-43.6538699170721,32.8937895418051,0,100,"2_Phaser2",200,20190812,-43.6538699170721,63.9984613149868,23.6538699170721,"MS","87",-13.1411242718522,"Phaser2"
-46.9945497661677,29.5531096927095,0,250,"2_Phaser2",1621,20190811,-33.6170003538348,65.9299529912175,18.9945497661677,"MS","87",-10.1197254707509,"Phaser2"
-48.8330509806841,27.7146084781931,0,500,"2_Phaser2",1521,20190811,-28.7427387511581,66.227133916663,-17.1669490193159,"MS","87",-8.65242652163206,"Phaser2"
-22.0321199071649,53.0463361538216,0,100,"2_Hfunstart",200,20190812,-22.0321199071649,31.5171369345564,2.0321199071649,"MS","87",-6.63232896012216,"Hfunstart"
-38.1219214994139,36.9565345615726,0,250,"2_Hfunstart",1621,20190811,-27.2700697189628,31.3851977981845,10.1219214994139,"MS","87",-8.20910896925583,"Hfunstart"
-55.8440573028304,19.2343987581561,0,500,"2_Hfunstart",1521,20190811,-32.8693603538074,31.4889481446253,-10.1559426971696,"MS","87",-9.89466340478449,"Hfunstart"
-22.0774916329482,42.2247535377188,0,100,"2_Pmor_start",200,20190812,-22.0774916329482,34.8270735379651,2.07749163294821,"MS","87",-6.64598721053798,"Pmor"
-37.5399333882214,26.7623117824456,0,250,"2_Pmor_start",1621,20190811,-26.8537513450825,34.8551974965756,9.53993338822141,"MS","87",-8.08378465097182,"Pmor"
-44.2181635991164,20.0840815715506,0,500,"2_Pmor_start",1521,20190811,-26.0264533724935,35.0952747708116,-21.7818364008836,"MS","87",-7.83474314587052,"Pmor"
-23.2032145368186,49.2066130558152,0,100,"2_Pmor_P1",200,20190812,-23.2032145368186,35.7195133186488,3.20321453681861,"MS","87",-6.98486357140893,"Pmor"
-38.7983145376176,33.6115130550162,0,250,"2_Pmor_P1",1621,20190811,-27.7539195508638,35.8244155039662,10.7983145376176,"MS","87",-8.35476228205502,"Pmor"
-50.4795646172867,21.9302629753471,0,500,"2_Pmor_P1",1521,20190811,-29.7118633574786,36.0057978315667,-15.5204353827133,"MS","87",-8.9441620976706,"Pmor"
-29.9429289250405,46.4851405968284,0,100,"2_Hfuntrill",200,20190812,-29.9429289250405,33.593535054985,9.9429289250405,"MS","87",-9.01371976447184,"Hfuntrill"
-48.1780505972799,28.250018924589,0,250,"2_Hfuntrill",1621,20190811,-34.4636038016011,33.4724293279004,20.1780505972799,"MS","87",-10.3745785029611,"Hfuntrill"
-64.1454682613355,12.2826012605334,0,500,"2_Hfuntrill",1521,20190811,-37.7555036861316,33.4747481780989,-1.85453173866449,"MS","87",-11.3655391109276,"Hfuntrill"
-19.5203399581727,55.1165090922874,0,100,"2_Pmor_P2",200,20190812,-19.5203399581727,32.536881102201,-0.479660041827302,"MS","87",-5.87620785296817,"Pmor"
-38.4882828922046,36.1485661582555,0,250,"2_Pmor_P2",1621,20190811,-27.5321420471872,32.7719170978386,10.4882828922046,"MS","87",-8.28800060108487,"Pmor"
-57.9108208797921,16.726028170668,0,500,"2_Pmor_P2",1521,20190811,-34.0858406752298,32.9895962649992,-8.0891791202079,"MS","87",-10.2608604706676,"Pmor"
-21.0968173712206,53.4306021477058,0,100,"2_Pmor_P3",200,20190812,-21.0968173712206,32.4141419395748,1.0968173712206,"MS","87",-6.35077484178234,"Pmor"
-37.1355433718905,37.3918761470359,0,250,"2_Pmor_P3",1621,20190811,-26.5644756867407,32.5250044035667,9.13554337189049,"MS","87",-7.9967040007955,"Pmor"
-52.9624862963958,21.5649332225306,0,500,"2_Pmor_P3",1521,20190811,-31.1732909711342,32.8434887578518,-13.0375137036042,"MS","87",-9.38409564587254,"Pmor"
