"","zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","habitat","playback.num","dBdoubledist","Loc_Name","ARU_ID","Call.category"
"952",-23.4320870559324,53.2614033024795,0,100,"2_Pmor_P3",1642,20190808,-23.4320870559324,33.0620576201133,3.43208705593241,"LP","68",-7.05376106484536,"3 (S4A07867)","S00974","Pmor"
"953",-38.7156973007249,37.977793057687,0,250,"2_Pmor_P3",1542,20190808,-27.6948202788062,32.5313455634689,10.7156973007249,"LP","68",-8.33697162844378,"3 (S4A07867)","S00974","Pmor"
"954",-54.4834969464037,22.2099934120082,0,500,"2_Pmor_P3",1342,20190808,-32.0685455348558,32.7382600062011,-11.5165030535963,"LP","68",-9.65359412330781,"3 (S4A07867)","S00974","Pmor"
"955",-22.7592866990592,51.4012812379456,0,100,"2_Pmor_P4",1642,20190808,-22.7592866990592,32.761401094637,2.7592866990592,"LP","68",-6.8512279763331,"3 (S4A07867)","S00974","Pmor"
"956",-41.2001530602742,32.9604148767306,0,250,"2_Pmor_P4",1542,20190808,-29.472046586185,32.2277160894095,13.2001530602742,"LP","68",-8.87197005604793,"3 (S4A07867)","S00974","Pmor"
"957",-53.9087297354486,20.2518382015562,0,500,"2_Pmor_P4",1342,20190808,-31.7302422043154,32.4461450171606,-12.0912702645514,"LP","68",-9.55175467318213,"3 (S4A07867)","S00974","Pmor"
"958",-23.1102891831201,48.9534547174202,0,100,"2_Pmor_P5",1642,20190808,-23.1102891831201,32.8734680604371,3.1102891831201,"LP","68",-6.956890252588,"3 (S4A07867)","S00974","Pmor"
"959",-42.8621435449503,29.20160035559,0,250,"2_Pmor_P5",1542,20190808,-30.6609319992686,32.369610396563,14.8621435449503,"LP","68",-9.22986022679345,"3 (S4A07867)","S00974","Pmor"
"960",-52.5809258844272,19.4828180161131,0,500,"2_Pmor_P5",1342,20190808,-30.9487075994473,32.4712705206311,-13.4190741155728,"LP","68",-9.31648931446745,"3 (S4A07867)","S00974","Pmor"
"961",-22.4924425963359,54.9368711324722,0,100,"2_Pmor_P6",1642,20190808,-22.4924425963359,33.3391384914048,2.4924425963359,"LP","68",-6.77089989724734,"3 (S4A07867)","S00974","Pmor"
"962",-41.0818535019499,36.3474602268582,0,250,"2_Pmor_P6",1542,20190808,-29.3874223837225,32.7729066091606,13.0818535019499,"LP","68",-8.84649563274757,"3 (S4A07867)","S00974","Pmor"
"963",-57.9160992010704,19.5132145277377,0,500,"2_Pmor_P6",1342,20190808,-34.088947452433,32.9960899479856,-8.0839007989296,"LP","68",-10.2617957037956,"3 (S4A07867)","S00974","Pmor"
"964",-24.5948334254226,47.6463154292461,0,100,"2_Pmor_P7",1642,20190808,-24.5948334254226,33.9270209981455,4.59483342542259,"LP","68",-7.4037825994113,"3 (S4A07867)","S00974","Pmor"
"965",-41.0083613339565,31.2327875207122,0,250,"2_Pmor_P7",1542,20190808,-29.3348506227474,33.4221801862102,13.0083613339565,"LP","68",-8.8306699557692,"3 (S4A07867)","S00974","Pmor"
"966",-52.4997004590092,19.7414483956595,0,500,"2_Pmor_P7",1342,20190808,-30.9008989711545,33.549904432128,-13.5002995409908,"LP","68",-9.30209748329975,"3 (S4A07867)","S00974","Pmor"
"967",-18.6963474573662,43.198835907984,0,100,"2_Pmor_P8",1642,20190808,-18.6963474573662,33.9088946478162,-1.3036525426338,"LP","68",-5.62816139402323,"3 (S4A07867)","S00974","Pmor"
"968",-36.009599373124,25.8855839922262,0,250,"2_Pmor_P8",1542,20190808,-25.7590448443714,33.5658364390913,8.009599373124,"LP","68",-7.75424515780943,"3 (S4A07867)","S00974","Pmor"
"969",-46.0685186609044,15.8266647044458,0,500,"2_Pmor_P8",1342,20190808,-27.1155573926148,33.445231646192,-19.9314813390956,"LP","68",-8.16259612432528,"3 (S4A07867)","S00974","Pmor"
"970",-13.7780635944073,42.2026470580131,0,100,"2_Pmor_P9",1642,20190808,-13.7780635944073,35.0133057283475,-6.2219364055927,"LP","68",-4.14761042408249,"3 (S4A07867)","S00974","Pmor"
"971",-28.5199536220109,27.4607570304095,0,250,"2_Pmor_P9",1542,20190808,-20.4014145421757,34.7329645636969,0.519953622010899,"LP","68",-6.14143773117023,"3 (S4A07867)","S00974","Pmor"
