"","wav.file","center.freq","high.freq","noise.valuedb","noise.file"
"72","M4_20190823_064003.wav",2500,2818,32.2358633628906,2
"73","M4_20190823_064003.wav",3150,3548,49.9210675232614,2
"74","M4_20190823_064003.wav",4000,4467,32.6163902941093,2
"75","M4_20190823_064003.wav",5000,5623,40.2104221232158,2
"76","M4_20190823_064003.wav",6300,7079,33.8179469708228,2
"77","M5_20190823_064007.wav",100,112,40.7487128272908,2
"78","M5_20190823_064007.wav",125,141,30.8067462053037,2
"79","M5_20190823_064007.wav",160,178,30.904565295497,2
"80","M5_20190823_064007.wav",200,224,29.7504215836578,2
"81","M5_20190823_064007.wav",250,282,31.630473424281,2
"82","M5_20190823_064007.wav",315,355,33.048880158108,2
"83","M5_20190823_064007.wav",400,447,34.1765989912669,2
"84","M5_20190823_064007.wav",500,562,33.5717967470006,2
"85","M5_20190823_064007.wav",630,708,33.6582284126136,2
"86","M5_20190823_064007.wav",800,891,34.8115644624878,2
"87","M5_20190823_064007.wav",1000,1122,34.2468762375661,2
"88","M5_20190823_064007.wav",1250,1413,31.7734400313396,2
"89","M5_20190823_064007.wav",1600,1778,40.4038654386287,2
"90","M5_20190823_064007.wav",2000,2239,31.0565544321408,2
"91","M5_20190823_064007.wav",2500,2818,32.5666798978299,2
"92","M5_20190823_064007.wav",3150,3548,49.5438009116949,2
"93","M5_20190823_064007.wav",4000,4467,35.6788643467216,2
"94","M5_20190823_064007.wav",5000,5623,47.2425125632164,2
"95","M5_20190823_064007.wav",6300,7079,37.9498290259547,2
"96","M6_20190823_064007.wav",100,112,34.6909238826688,2
"97","M6_20190823_064007.wav",125,141,30.2225015918417,2
"98","M6_20190823_064007.wav",160,178,29.1227524393129,2
"99","M6_20190823_064007.wav",200,224,29.1997347295072,2
"100","M6_20190823_064007.wav",250,282,30.3414235931507,2
"101","M6_20190823_064007.wav",315,355,31.1167221448081,2
"102","M6_20190823_064007.wav",400,447,31.5571278692228,2
"103","M6_20190823_064007.wav",500,562,31.9315059682556,2
"104","M6_20190823_064007.wav",630,708,31.9022377588532,2
"105","M6_20190823_064007.wav",800,891,32.3768910169295,2
"106","M6_20190823_064007.wav",1000,1122,32.1798630554969,2
"107","M6_20190823_064007.wav",1250,1413,30.3177596602153,2
"108","M6_20190823_064007.wav",1600,1778,36.4153185801643,2
"109","M6_20190823_064007.wav",2000,2239,30.4776000905911,2
"110","M6_20190823_064007.wav",2500,2818,32.9749274107621,2
"111","M6_20190823_064007.wav",3150,3548,46.717370945736,2
"112","M6_20190823_064007.wav",4000,4467,34.4688754598554,2
"113","M6_20190823_064007.wav",5000,5623,38.8909509087265,2
"114","M6_20190823_064007.wav",6300,7079,31.6238397524497,2
"115","M1_20190823_080004.wav",100,112,41.3560894408025,2
"116","M1_20190823_080004.wav",125,141,34.6332595323038,2
"117","M1_20190823_080004.wav",160,178,34.8014958041086,2
"118","M1_20190823_080004.wav",200,224,37.0390667594024,2
"119","M1_20190823_080004.wav",250,282,40.8941991860532,2
"120","M1_20190823_080004.wav",315,355,44.3938078990886,2
"121","M1_20190823_080004.wav",400,447,46.0813171683064,2
"122","M1_20190823_080004.wav",500,562,44.9192430664874,2
"123","M1_20190823_080004.wav",630,708,44.9159491728434,2
"124","M1_20190823_080004.wav",800,891,45.5045770440783,2
"125","M1_20190823_080004.wav",1000,1122,43.873536274451,2
"126","M1_20190823_080004.wav",1250,1413,42.7970791442157,2
"127","M1_20190823_080004.wav",1600,1778,41.8387859761151,2
"128","M1_20190823_080004.wav",2000,2239,38.5356174949258,2
"129","M1_20190823_080004.wav",2500,2818,36.7553175447281,2
"130","M1_20190823_080004.wav",3150,3548,43.7199870042114,2
"131","M1_20190823_080004.wav",4000,4467,38.1129071877001,2
"132","M1_20190823_080004.wav",5000,5623,47.9280147497654,2
"133","M1_20190823_080004.wav",6300,7079,47.4026883426561,2
"134","M2_20190823_080004.wav",100,112,33.2113676067648,2
"135","M2_20190823_080004.wav",125,141,32.6200732189774,2
"136","M2_20190823_080004.wav",160,178,32.894911239844,2
"137","M2_20190823_080004.wav",200,224,32.8283968373544,2
"138","M2_20190823_080004.wav",250,282,33.2466832933352,2
"139","M2_20190823_080004.wav",315,355,35.5132486519647,2
"140","M2_20190823_080004.wav",400,447,37.2715701220978,2
"141","M2_20190823_080004.wav",500,562,38.5940354020422,2
"142","M2_20190823_080004.wav",630,708,39.9525161070239,2
"143","M2_20190823_080004.wav",800,891,39.4872241513389,2
"144","M2_20190823_080004.wav",1000,1122,38.379992585417,2
"145","M2_20190823_080004.wav",1250,1413,36.1139052852032,2
"146","M2_20190823_080004.wav",1600,1778,36.7510727029546,2
"147","M2_20190823_080004.wav",2000,2239,33.6230065576731,2
"148","M2_20190823_080004.wav",2500,2818,33.863282436601,2
"149","M2_20190823_080004.wav",3150,3548,43.5525957145899,2
"150","M2_20190823_080004.wav",4000,4467,38.2045257382327,2
"151","M2_20190823_080004.wav",5000,5623,45.6645932207977,2
"152","M2_20190823_080004.wav",6300,7079,46.789381909013,2
"153","M3_20190823_080004.wav",100,112,34.0232792974079,2
"154","M3_20190823_080004.wav",125,141,31.8570316745749,2
"155","M3_20190823_080004.wav",160,178,32.4388382265243,2
"156","M3_20190823_080004.wav",200,224,32.7867657150677,2
"157","M3_20190823_080004.wav",250,282,36.4388134336086,2
"158","M3_20190823_080004.wav",315,355,39.7110937877012,2
"159","M3_20190823_080004.wav",400,447,40.3122609259236,2
"160","M3_20190823_080004.wav",500,562,39.8151376165355,2
"161","M3_20190823_080004.wav",630,708,39.6472238875392,2
"162","M3_20190823_080004.wav",800,891,40.6649294136782,2
"163","M3_20190823_080004.wav",1000,1122,39.7219644492267,2
"164","M3_20190823_080004.wav",1250,1413,37.3822105804997,2
"165","M3_20190823_080004.wav",1600,1778,37.3753031998603,2
"166","M3_20190823_080004.wav",2000,2239,33.3004870321045,2
"167","M3_20190823_080004.wav",2500,2818,33.1030923807721,2
"168","M3_20190823_080004.wav",3150,3548,42.2788722172966,2
"169","M3_20190823_080004.wav",4000,4467,36.6127392038036,2
"170","M3_20190823_080004.wav",5000,5623,46.84516258788,2
"171","M3_20190823_080004.wav",6300,7079,45.7865694705413,2
"172","M4_20190823_080004.wav",100,112,35.1892076203867,2
"173","M4_20190823_080004.wav",125,141,28.7294224003728,2
"174","M4_20190823_080004.wav",160,178,29.0340680919583,2
"175","M4_20190823_080004.wav",200,224,29.6835400977143,2
"176","M4_20190823_080004.wav",250,282,30.5933781137418,2
"177","M4_20190823_080004.wav",315,355,31.7729912885426,2
"178","M4_20190823_080004.wav",400,447,32.8004377977015,2
"179","M4_20190823_080004.wav",500,562,32.8923954206338,2
"180","M4_20190823_080004.wav",630,708,34.9012641545419,2
"181","M4_20190823_080004.wav",800,891,37.3530796148401,2
"182","M4_20190823_080004.wav",1000,1122,37.4542202373415,2
"183","M4_20190823_080004.wav",1250,1413,33.7214972279343,2
"184","M4_20190823_080004.wav",1600,1778,34.7498704309807,2
"185","M4_20190823_080004.wav",2000,2239,32.395476136552,2
"186","M4_20190823_080004.wav",2500,2818,31.656353140114,2
