"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb","target.signal"
"M1",22,"Spectrogram 1",1,1290.683322,1297.876599,589.6,1381.6,7.1933,-31.96,15.31,"1_Halbstart","M1_20190823_100005",116.971518,4.743234012,20190823,1000,63.15323893,57.22569589,"y"
"M1",23,"Spectrogram 1",1,1298.044863,1302.714184,748.9,1593.5,4.6693,-26.6,21.34,"1_Halbpeak","M1_20190823_100005",116.971518,4.743234012,20190823,1000,70.69471279,49.47428731,"y"
"M1",24,"Spectrogram 1",1,1303.101442,1306.109157,358.5,900.3,3.0077,-36.64,12.48,"1_Halbend","M1_20190823_100005",116.971518,4.743234012,20190823,1000,58.99385049,51.81972049,"y"
"M1",43,"Spectrogram 1",1,1373.205219,1377.693902,580,1080.8,4.4887,-28.39,24.61,"2_Hfunstart","M1_20190823_100005",116.971518,4.743234012,20190823,1000,69.30824905,51.87277568,"y"
"M1",46,"Spectrogram 1",1,1377.738519,1384.535279,580,1526.5,6.7968,-28.86,24.24,"2_Hfuntrill","M1_20190823_100005",116.971518,4.743234012,20190823,1000,69.03077685,50.63701501,"y"
"M1",56,"Spectrogram 1",1,1440.152322,1447.345599,589.6,1381.6,7.1933,-31.9,15.4,"2_Halbstart","M1_20190823_100005",116.971518,4.743234012,20190823,1000,63.06928597,57.53118256,"y"
"M1",57,"Spectrogram 1",1,1447.513863,1452.183184,748.9,1593.5,4.6693,-26.72,21.22,"2_Halbpeak","M1_20190823_100005",116.971518,4.743234012,20190823,1000,70.61341775,49.1793469,"y"
"M1",58,"Spectrogram 1",1,1452.570442,1455.578157,358.5,900.3,3.0077,-36.36,12.85,"2_Halbend","M1_20190823_100005",116.971518,4.743234012,20190823,1000,59.48531929,51.58775304,"y"
"M1",77,"Spectrogram 1",1,1522.636219,1527.124902,580,1080.8,4.4887,-28.29,23.99,"3_Hfunstart","M1_20190823_100005",116.971518,4.743234012,20190823,1000,69.40672725,52.0787121,"y"
"M1",80,"Spectrogram 1",1,1527.169519,1533.966279,580,1526.5,6.7968,-28.83,24.42,"3_Hfuntrill","M1_20190823_100005",116.971518,4.743234012,20190823,1000,69.0610122,50.35648723,"y"
"M1",90,"Spectrogram 1",1,1589.583322,1596.776599,589.6,1381.6,7.1933,-32.05,15.36,"3_Halbstart","M1_20190823_100005",116.971518,4.743234012,20190823,1000,63.31181116,56.71553995,"y"
"M1",91,"Spectrogram 1",1,1596.944863,1601.614184,748.9,1593.5,4.6693,-26.67,21.03,"3_Halbpeak","M1_20190823_100005",116.971518,4.743234012,20190823,1000,70.6097188,49.24625455,"y"
"M1",92,"Spectrogram 1",1,1602.001442,1605.009157,358.5,900.3,3.0077,-36.83,12.81,"3_Halbend","M1_20190823_100005",116.971518,4.743234012,20190823,1000,58.83495415,51.68894178,"y"
"M1",9,"Spectrogram 1",1,2032.636219,2037.124902,580,1080.8,4.4887,-28.51,23.79,"1_Hfunstart","M1_20190823_104005",116.971518,4.743234012,20190823,1040,69.1788887,51.8613597,"y"
"M1",12,"Spectrogram 1",1,2037.169519,2043.966279,580,1526.5,6.7968,-29.19,23.99,"1_Hfuntrill","M1_20190823_104005",116.971518,4.743234012,20190823,1040,68.6432162,50.48068955,"y"
"M1",22,"Spectrogram 1",1,2099.583322,2106.776599,589.6,1381.6,7.1933,-32.12,14.95,"1_Halbstart","M1_20190823_104005",116.971518,4.743234012,20190823,1040,63.00054109,57.01701325,"y"
"M1",23,"Spectrogram 1",1,2106.944863,2111.614184,748.9,1593.5,4.6693,-26.69,21.12,"1_Halbpeak","M1_20190823_104005",116.971518,4.743234012,20190823,1040,70.54042226,48.23538849,"y"
"M1",24,"Spectrogram 1",1,2112.001442,2115.009157,358.5,900.3,3.0077,-35.95,12.73,"1_Halbend","M1_20190823_104005",116.971518,4.743234012,20190823,1040,60.03635723,51.61432624,"y"
"M1",43,"Spectrogram 1",1,2182.105219,2186.593902,580,1080.8,4.4887,-28.49,24.51,"2_Hfunstart","M1_20190823_104005",116.971518,4.743234012,20190823,1040,69.27149534,51.40548214,"y"
"M1",46,"Spectrogram 1",1,2186.638519,2193.435279,580,1526.5,6.7968,-29.15,24.1,"2_Hfuntrill","M1_20190823_104005",116.971518,4.743234012,20190823,1040,68.66463145,50.22498756,"y"
"M1",56,"Spectrogram 1",1,2249.052322,2256.245599,589.6,1381.6,7.1933,-32.11,15.47,"2_Halbstart","M1_20190823_104005",116.971518,4.743234012,20190823,1040,63.24415687,56.50473434,"y"
"M1",57,"Spectrogram 1",1,2256.413863,2261.083184,748.9,1593.5,4.6693,-26.54,20.71,"2_Halbpeak","M1_20190823_104005",116.971518,4.743234012,20190823,1040,70.63679524,48.69756482,"y"
"M1",58,"Spectrogram 1",1,2261.470442,2264.478157,358.5,900.3,3.0077,-36.09,12.73,"2_Halbend","M1_20190823_104005",116.971518,4.743234012,20190823,1040,59.79768526,51.76487553,"y"
"M1",77,"Spectrogram 1",1,2331.536219,2336.024902,580,1080.8,4.4887,-28.58,23.56,"3_Hfunstart","M1_20190823_104005",116.971518,4.743234012,20190823,1040,68.97948425,52.7251099,"y"
"M1",80,"Spectrogram 1",1,2336.069519,2342.866279,580,1526.5,6.7968,-29.19,23.89,"3_Hfuntrill","M1_20190823_104005",116.971518,4.743234012,20190823,1040,68.66892923,50.51272714,"y"
