"zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","dBdoubledist","Call.category"
-33.499134642754,37.7552092592403,0,206,"1_Halbpeak","640",20190823,-37.4997535034509,39.4711025391243,16.2,-11.2885506345442,"Halbpeak"
-6.392421922681,49.9340351186541,0,25,"1_Halbend","640",20190823,221.137709152406,46.0222543022006,0.69,66.5690836272915,"Halbend"
-17.6371295428694,38.6893274984657,0,70,"1_Halbend","640",20190823,-41.8309361218843,47.635371550891,11.94,-12.5923665193911,"Halbend"
-20.8035455486069,35.5229114927282,0,118,"1_Halbend","640",20190823,-31.9917680981175,41.7137733041172,9.6,-9.63048181185939,"Halbend"
-22.3515612294853,33.9748958118498,0,167,"1_Halbend","640",20190823,-27.9369696792957,42.0872272650154,7.55,-8.40986586142317,"Halbend"
-25.2296227413346,31.0968343000005,0,206,"1_Halbend","640",20190823,-28.2426589186462,39.5589740900846,7.93,-8.50188749181937,"Halbend"
-8.4236243784994,63.2236251697115,0,25,"2_Hfunstart","640",20190823,291.404575660497,43.5487092725609,2.72,87.7215181475438,"Hfunstart"
-18.4729871648145,53.1742623833964,0,70,"2_Hfunstart","640",20190823,-43.8133849498293,43.7484833235379,12.77,-13.1891430814715,"Hfunstart"
-24.9470762600735,46.7001732881374,0,118,"2_Hfunstart","640",20190823,-38.3637047143518,37.7973476532996,13.75,-11.5486258638156,"Hfunstart"
-30.5256837010609,41.12156584715,0,167,"2_Hfunstart","640",20190823,-38.1537151360746,39.6106196586013,15.73,-11.4854127019773,"Hfunstart"
-37.9034085652393,33.7438409829716,0,206,"2_Hfunstart","640",20190823,-42.4300058283598,36.3628824061469,20.6,-12.7727044705339,"Hfunstart"
-9.44429713178331,59.5100544795911,0,25,"2_Hfuntrill","640",20190823,326.713451886993,44.4198891899244,3.74,98.3505490049059,"Hfuntrill"
-12.9689451104289,55.9854065009455,0,70,"2_Hfuntrill","640",20190823,-30.7591500739363,45.0297261637704,7.27,-9.2594268133848,"Hfuntrill"
-19.69083107265,49.2635205387244,0,118,"2_Hfuntrill","640",20190823,-30.2806317251825,39.2971120600146,8.49,-9.11537843693429,"Hfuntrill"
-28.5213543871003,40.4329972242741,0,167,"2_Hfuntrill","640",20190823,-35.6485260489886,40.4668339427715,13.72,-10.7312756419544,"Hfuntrill"
-38.6702672629156,30.2840843484588,0,206,"2_Hfuntrill","640",20190823,-43.2884462758972,38.3331015482665,21.37,-13.0311207947338,"Hfuntrill"
-8.3039074268966,57.5367026197023,0,25,"2_Halbstart","640",20190823,287.26311992676,45.179952118744,2.6,86.4748157459744,"Halbstart"
-11.3473353382782,54.4932747083207,0,70,"2_Halbstart","640",20190823,-26.913090281237,45.9881481822831,5.65,-8.1016474506651,"Halbstart"
-14.1673418259026,51.6732682206963,0,118,"2_Halbstart","640",20190823,-21.7865898484495,40.2602363850853,2.97,-6.55841704761169,"Halbstart"
-15.0109260828904,50.8296839637085,0,167,"2_Halbstart","640",20190823,-18.7619908305401,40.2485230311925,0.21,-5.64792201836514,"Halbstart"
-19.5937809489441,46.2468290976548,0,206,"2_Halbstart","640",20190823,-21.9337592932404,37.3750650651283,2.29,-6.60271946493896,"Halbstart"
-10.3293414958637,61.0354646679509,0,25,"2_Halbpeak","640",20190823,357.330436425602,42.7128579439877,4.63,107.567179727807,"Halbpeak"
-12.4648337005745,58.8999724632401,0,70,"2_Halbpeak","640",20190823,-29.5635217188417,43.5641399639987,6.76,-8.89950681483492,"Halbpeak"
