"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb","target.signal"
"M1",77,"Spectrogram 1",1,2715.386218779,2719.874901599,580,1080.8,4.4887,-26.52,24.02,"3_Hfunstart","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,71.6338929393972,49.3365233001586,"y"
"M1",80,"Spectrogram 1",1,2719.919519279,2726.716279029,580,1526.5,6.7968,-28.83,23.81,"3_Hfuntrill","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,69.0071854473462,50.5637639077183,"y"
"M1",90,"Spectrogram 1",1,2782.333321659,2789.526599259,589.6,1381.6,7.1933,-31.81,15.94,"3_Halbstart","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,65.2543045558884,50.6717586555181,"y"
"M1",91,"Spectrogram 1",1,2789.694863059,2794.364183659,748.9,1593.5,4.6693,-26.25,21.01,"3_Halbpeak","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,71.1622224911541,48.9488096884379,"n"
"M1",92,"Spectrogram 1",1,2794.751441759,2797.759157259,358.5,900.3,3.0077,-36.74,12.49,"3_Halbend","M1_20190823_084004",116.971518024802,4.74323401227593,20190823,840,58.7167273008362,52.2769860073235,"y"
"M1",9,"Spectrogram 1",1,1223.736218779,1228.224901599,580,1080.8,4.4887,-28.31,24.13,"1_Hfunstart","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,69.5863357046607,50.6481066544615,"y"
"M1",12,"Spectrogram 1",1,1228.269519279,1235.066279029,580,1526.5,6.7968,-28.75,24.34,"1_Hfuntrill","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,68.7924251432005,53.39035897272,"y"
"M1",22,"Spectrogram 1",1,1290.683321659,1297.876599259,589.6,1381.6,7.1933,-31.96,15.31,"1_Halbstart","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,65.0894669991327,51.3068129941338,"y"
"M1",23,"Spectrogram 1",1,1298.044863059,1302.714183659,748.9,1593.5,4.6693,-26.6,21.34,"1_Halbpeak","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,70.6882665498727,49.5481319722019,"y"
"M1",24,"Spectrogram 1",1,1303.101441759,1306.109157259,358.5,900.3,3.0077,-36.64,12.48,"1_Halbend","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,58.8232902749409,52.1971682327198,"n"
"M1",43,"Spectrogram 1",1,1373.205218779,1377.693901599,580,1080.8,4.4887,-28.39,24.61,"2_Hfunstart","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,69.5703110472038,49.6251419090622,"y"
"M1",46,"Spectrogram 1",1,1377.738519279,1384.535279029,580,1526.5,6.7968,-28.86,24.24,"2_Hfuntrill","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,69.0100594279938,50.807325441465,"y"
"M1",56,"Spectrogram 1",1,1440.152321659,1447.345599259,589.6,1381.6,7.1933,-31.9,15.4,"2_Halbstart","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,65.2143564974224,50.9734461312716,"y"
"M1",57,"Spectrogram 1",1,1447.513863059,1452.183183659,748.9,1593.5,4.6693,-26.72,21.22,"2_Halbpeak","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,70.6075563878233,49.2481857409239,"y"
"M1",58,"Spectrogram 1",1,1452.570441759,1455.578157259,358.5,900.3,3.0077,-36.36,12.85,"2_Halbend","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,59.3259679753819,51.9711391475291,"y"
"M1",77,"Spectrogram 1",1,1522.636218779,1527.124901599,580,1080.8,4.4887,-28.29,23.99,"3_Hfunstart","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,69.7156831818279,49.3901086254059,"y"
"M1",80,"Spectrogram 1",1,1527.169519279,1533.966279029,580,1526.5,6.7968,-28.83,24.42,"3_Hfuntrill","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,69.0499144990761,50.4515048426073,"y"
"M1",90,"Spectrogram 1",1,1589.583321659,1596.776599259,589.6,1381.6,7.1933,-32.05,15.36,"3_Halbstart","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,65.0178540586131,51.3019478624461,"y"
"M1",91,"Spectrogram 1",1,1596.944863059,1601.614183659,748.9,1593.5,4.6693,-26.67,21.03,"3_Halbpeak","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,70.6087169645055,49.257967052856,"y"
"M1",92,"Spectrogram 1",1,1602.001441759,1605.009157259,358.5,900.3,3.0077,-36.83,12.81,"3_Halbend","M1_20190823_100005",116.971518024802,4.74323401227593,20190823,1000,58.7386055878391,51.9043895641747,"y"
"M1",9,"Spectrogram 1",1,2032.636218779,2037.124901599,580,1080.8,4.4887,-28.51,23.79,"1_Hfunstart","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,69.4252788895363,49.7998088089444,"y"
"M1",12,"Spectrogram 1",1,2037.169519279,2043.966279029,580,1526.5,6.7968,-29.19,23.99,"1_Hfuntrill","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,68.6268369647404,50.6121273927445,"y"
"M1",22,"Spectrogram 1",1,2099.583321659,2106.776599259,589.6,1381.6,7.1933,-32.12,14.95,"1_Halbstart","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,64.9758345272896,50.847058774292,"y"
"M1",23,"Spectrogram 1",1,2106.944863059,2111.614183659,748.9,1593.5,4.6693,-26.69,21.12,"1_Halbpeak","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,70.5207740368027,48.4875990936641,"y"
"M1",24,"Spectrogram 1",1,2112.001441759,2115.009157259,358.5,900.3,3.0077,-35.95,12.73,"1_Halbend","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,59.8554921040086,52.073948841843,"y"
"M1",43,"Spectrogram 1",1,2182.105218779,2186.593901599,580,1080.8,4.4887,-28.49,24.51,"2_Hfunstart","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,69.5219640646928,49.1484628871468,"y"
"M1",46,"Spectrogram 1",1,2186.638519279,2193.435279029,580,1526.5,6.7968,-29.15,24.1,"2_Hfuntrill","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,68.6460924256519,50.3783664385145,"y"
"M1",56,"Spectrogram 1",1,2249.052321659,2256.245599259,589.6,1381.6,7.1933,-32.11,15.47,"2_Halbstart","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,64.9528771611255,50.9519761426759,"y"
"M1",57,"Spectrogram 1",1,2256.413863059,2261.083183659,748.9,1593.5,4.6693,-26.54,20.71,"2_Halbpeak","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,70.6195940259195,48.9097790424808,"y"
